TicketKey,TicketID,DateKey,AgentKey,ClientKey,ChannelKey,CreatedDateTime,ResolvedDateTime,ResolutionHours,IsResolved,SLA_Met,CSAT_Score
30,TCK-10030,20251118,14,6,2,2025-11-18 07:16:25,2025-11-18 17:14:37,9.97,1,1,2
31,TCK-10031,20260731,30,2,1,2026-07-31 03:04:34,2026-08-01 04:54:22,25.83,1,1,5
32,TCK-10032,20250611,19,4,2,2025-06-11 14:53:34,2025-06-11 23:18:46,8.42,1,1,5
33,TCK-10033,20251103,36,1,3,2025-11-03 21:06:56,2025-11-04 14:12:56,17.1,1,1,
34,TCK-10034,20250609,36,2,3,2025-06-09 08:18:38,2025-06-09 16:43:14,8.41,1,1,5
35,TCK-10035,20250405,4,8,2,2025-04-05 20:27:53,2025-04-07 11:33:53,39.1,1,1,4
36,TCK-10036,20260329,48,5,1,2026-03-29 17:45:27,2026-03-31 10:18:27,40.55,1,0,5
37,TCK-10037,20260114,3,3,3,2026-01-14 18:35:09,2026-01-16 00:07:33,29.54,1,0,4
38,TCK-10038,20250913,14,1,2,2025-09-13 21:06:22,2025-09-15 00:45:22,27.65,1,0,3
39,TCK-10039,20250701,11,3,1,2025-07-01 13:01:11,2025-07-01 17:49:47,4.81,1,1,5
40,TCK-10040,20250421,11,4,2,2025-04-21 12:55:02,,,0,0,4
41,TCK-10041,20250125,15,5,1,2025-01-25 21:12:25,2025-01-26 03:31:37,6.32,1,1,5
42,TCK-10042,20251206,35,7,3,2025-12-06 00:07:56,,,0,0,4
43,TCK-10043,20260321,7,5,1,2026-03-21 11:46:50,2026-03-21 19:00:02,7.22,1,1,3
44,TCK-10044,20260323,3,4,2,2026-03-23 00:33:59,2026-03-23 08:03:23,7.49,1,1,2
45,TCK-10045,20250313,28,4,2,2025-03-13 21:58:21,2025-03-14 13:15:45,15.29,1,1,4
46,TCK-10046,20251201,27,5,3,2025-12-01 12:44:18,2025-12-02 13:34:42,24.84,1,0,5
47,TCK-10047,20251105,37,3,3,2025-11-05 12:35:53,2025-11-06 04:10:41,15.58,1,0,5
48,TCK-10048,20260329,29,6,2,2026-03-29 21:13:32,2026-03-31 09:07:32,35.9,1,1,3
49,TCK-10049,20251210,33,2,2,2025-12-10 02:52:48,2025-12-10 13:19:12,10.44,1,1,
50,TCK-10050,20250316,31,1,1,2025-03-16 14:26:56,2025-03-18 05:08:56,38.7,1,0,4
51,TCK-10051,20250106,42,4,1,2025-01-06 03:49:27,2025-01-06 09:05:39,5.27,1,1,4
52,TCK-10052,20250517,30,4,1,2025-05-17 14:42:33,,,0,0,3
53,TCK-10053,20260601,47,8,3,2026-06-01 13:53:58,2026-06-03 00:12:34,34.31,1,1,3
54,TCK-10054,20251011,41,5,1,2025-10-11 16:31:40,2025-10-11 17:23:16,0.86,1,1,5
55,TCK-10055,20250324,35,6,2,2025-03-24 04:09:14,2025-03-25 03:25:26,23.27,1,1,5
56,TCK-10056,20260302,30,6,3,2026-03-02 01:13:53,2026-03-03 08:52:17,31.64,1,1,3
57,TCK-10057,20251227,1,7,2,2025-12-27 09:48:24,,,0,0,3
58,TCK-10058,20251007,15,4,2,2025-10-07 13:31:01,2025-10-08 17:43:01,28.2,1,1,4
59,TCK-10059,20260701,40,8,1,2026-07-01 00:58:25,2026-07-01 01:51:49,0.89,1,1,5
60,TCK-10060,20250924,4,8,1,2025-09-24 12:20:13,2025-09-25 13:13:37,24.89,1,1,5
61,TCK-10061,20260427,6,7,2,2026-04-27 00:47:34,2026-04-27 12:38:34,11.85,1,0,4
62,TCK-10062,20250724,16,1,1,2025-07-24 00:39:09,2025-07-24 23:37:21,22.97,1,1,5
63,TCK-10063,20260113,17,8,3,2026-01-13 05:38:38,,,0,0,5
64,TCK-10064,20250127,7,3,2,2025-01-27 09:36:43,,,0,0,5
65,TCK-10065,20251105,45,4,1,2025-11-05 21:38:51,2025-11-06 13:16:39,15.63,1,1,4
66,TCK-10066,20250312,24,7,3,2025-03-12 16:41:21,2025-03-13 00:20:21,7.65,1,1,3
67,TCK-10067,20250606,30,6,3,2025-06-06 13:11:46,2025-06-07 08:29:10,19.29,1,1,2
68,TCK-10068,20251002,28,8,2,2025-10-02 10:54:15,,,0,0,
69,TCK-10069,20260421,49,8,1,2026-04-21 18:39:42,2026-04-21 19:13:54,0.57,1,1,
70,TCK-10070,20250806,32,6,1,2025-08-06 11:51:16,2025-08-07 19:58:28,32.12,1,1,3
71,TCK-10071,20250329,13,1,3,2025-03-29 07:46:26,2025-03-30 03:12:50,19.44,1,1,3
72,TCK-10072,20250406,2,8,2,2025-04-06 09:14:25,2025-04-06 22:15:37,13.02,1,1,5
73,TCK-10073,20260718,48,6,2,2026-07-18 10:22:44,2026-07-19 01:50:56,15.47,1,1,5
74,TCK-10074,20260703,48,6,1,2026-07-03 22:11:12,2026-07-03 23:52:00,1.68,1,1,4
75,TCK-10075,20251031,13,5,1,2025-10-31 07:23:11,2025-11-01 00:15:23,16.87,1,1,
76,TCK-10076,20250510,19,1,3,2025-05-10 20:55:48,2025-05-11 09:24:00,12.47,1,1,3
77,TCK-10077,20250222,12,8,2,2025-02-22 08:55:30,2025-02-22 21:21:54,12.44,1,1,
78,TCK-10078,20250224,37,8,1,2025-02-24 04:09:51,2025-02-24 09:56:39,5.78,1,1,
79,TCK-10079,20250820,39,7,3,2025-08-20 16:24:28,,,0,0,5
80,TCK-10080,20250303,37,7,2,2025-03-03 19:47:06,,,0,0,4
81,TCK-10081,20260720,12,3,1,2026-07-20 02:10:00,2026-07-21 13:46:36,35.61,1,0,4
82,TCK-10082,20260410,19,5,3,2026-04-10 02:43:14,,,0,0,4
83,TCK-10083,20260712,8,4,2,2026-07-12 07:41:09,,,0,0,4
84,TCK-10084,20260806,48,5,3,2026-08-06 09:28:07,2026-08-07 07:06:31,21.64,1,1,3
85,TCK-10085,20250210,6,8,2,2025-02-10 13:47:20,2025-02-11 13:47:20,24.0,1,1,
86,TCK-10086,20250122,37,4,3,2025-01-22 21:52:17,2025-01-23 16:58:53,19.11,1,1,3
87,TCK-10087,20260323,12,8,2,2026-03-23 20:52:31,,,0,0,3
88,TCK-10088,20260226,22,2,1,2026-02-26 22:31:18,2026-02-27 22:46:18,24.25,1,1,4
89,TCK-10089,20251128,17,2,2,2025-11-28 03:49:25,,,0,0,4
90,TCK-10090,20260419,35,1,3,2026-04-19 13:03:12,2026-04-19 21:26:00,8.38,1,1,3
91,TCK-10091,20260717,18,1,1,2026-07-17 04:59:18,2026-07-17 21:32:18,16.55,1,1,4
92,TCK-10092,20251115,11,4,3,2025-11-15 17:00:35,2025-11-16 15:09:35,22.15,1,1,
93,TCK-10093,20260526,10,2,3,2026-05-26 22:18:32,2026-05-28 15:32:56,41.24,1,1,3
94,TCK-10094,20260128,10,8,3,2026-01-28 06:58:38,2026-01-29 02:58:02,19.99,1,1,4
95,TCK-10095,20251001,33,7,2,2025-10-01 00:18:46,2025-10-01 11:31:58,11.22,1,0,5
96,TCK-10096,20260511,35,3,2,2026-05-11 11:21:35,2026-05-12 05:45:35,18.4,1,0,5
97,TCK-10097,20250828,25,4,3,2025-08-28 13:02:20,2025-08-28 21:37:08,8.58,1,1,4
98,TCK-10098,20250510,3,3,2,2025-05-10 16:37:21,,,0,0,3
99,TCK-10099,20260413,34,8,1,2026-04-13 00:46:09,2026-04-13 15:21:33,14.59,1,1,4
100,TCK-10100,20260212,40,5,2,2026-02-12 20:05:54,2026-02-13 07:49:06,11.72,1,1,3
101,TCK-10101,20250312,3,8,3,2025-03-12 07:40:43,,,0,0,4
102,TCK-10102,20250413,46,2,3,2025-04-13 14:10:44,2025-04-13 19:52:44,5.7,1,1,
103,TCK-10103,20260103,19,6,1,2026-01-03 11:27:09,2026-01-03 14:29:33,3.04,1,1,5
104,TCK-10104,20260127,40,3,1,2026-01-27 19:43:15,2026-01-28 06:39:39,10.94,1,1,4
105,TCK-10105,20250110,43,8,2,2025-01-10 14:57:18,2025-01-11 16:32:06,25.58,1,1,5
106,TCK-10106,20250914,28,5,3,2025-09-14 14:54:19,2025-09-14 23:04:31,8.17,1,1,5
107,TCK-10107,20251030,19,6,3,2025-10-30 00:53:42,2025-10-31 19:23:06,42.49,1,1,4
108,TCK-10108,20260524,48,1,3,2026-05-24 09:49:51,2026-05-25 07:01:51,21.2,1,1,3
109,TCK-10109,20250521,49,5,3,2025-05-21 20:06:57,2025-05-23 11:07:33,39.01,1,0,
110,TCK-10110,20250403,9,6,3,2025-04-03 09:20:47,2025-04-04 09:02:11,23.69,1,1,4
111,TCK-10111,20251007,33,6,3,2025-10-07 05:16:58,,,0,0,2
112,TCK-10112,20250428,22,5,3,2025-04-28 14:04:09,2025-04-29 11:19:09,21.25,1,1,5
113,TCK-10113,20250403,24,7,3,2025-04-03 12:00:16,2025-04-03 13:17:04,1.28,1,1,4
114,TCK-10114,20250421,24,7,3,2025-04-21 21:14:30,2025-04-23 03:15:06,30.01,1,0,3
115,TCK-10115,20260421,5,4,3,2026-04-21 22:19:41,2026-04-23 11:21:29,37.03,1,0,5
116,TCK-10116,20250829,7,8,1,2025-08-29 17:08:24,2025-08-30 02:09:36,9.02,1,1,3
117,TCK-10117,20250608,48,7,3,2025-06-08 13:41:06,,,0,0,5
118,TCK-10118,20260401,29,6,1,2026-04-01 07:54:23,2026-04-01 22:46:35,14.87,1,1,2
119,TCK-10119,20251010,26,6,1,2025-10-10 06:07:54,,,0,0,
120,TCK-10120,20250122,41,4,3,2025-01-22 01:50:21,2025-01-22 11:12:33,9.37,1,1,
121,TCK-10121,20260722,49,4,1,2026-07-22 06:37:13,2026-07-23 03:19:49,20.71,1,1,5
122,TCK-10122,20250514,10,1,2,2025-05-14 17:16:51,2025-05-15 10:19:51,17.05,1,1,
123,TCK-10123,20250117,21,4,3,2025-01-17 05:16:03,2025-01-17 21:26:15,16.17,1,1,4
124,TCK-10124,20250422,33,8,2,2025-04-22 14:32:14,,,0,0,
125,TCK-10125,20250201,42,5,2,2025-02-01 01:30:54,2025-02-01 22:51:54,21.35,1,1,2
126,TCK-10126,20250601,21,2,1,2025-06-01 02:08:17,2025-06-01 22:14:53,20.11,1,1,4
127,TCK-10127,20260317,33,5,2,2026-03-17 03:50:44,2026-03-17 10:55:32,7.08,1,1,5
128,TCK-10128,20250822,29,4,2,2025-08-22 13:21:52,2025-08-22 21:18:16,7.94,1,1,5
129,TCK-10129,20260501,10,5,2,2026-05-01 02:05:53,2026-05-02 03:43:05,25.62,1,0,4
130,TCK-10130,20260730,4,3,3,2026-07-30 17:21:42,2026-07-31 00:16:54,6.92,1,1,3
131,TCK-10131,20251116,39,1,2,2025-11-16 11:06:36,2025-11-16 12:22:48,1.27,1,1,2
132,TCK-10132,20250428,24,6,3,2025-04-28 08:36:14,2025-04-29 05:42:14,21.1,1,1,5
133,TCK-10133,20251001,43,1,3,2025-10-01 00:11:17,2025-10-01 15:09:29,14.97,1,1,4
134,TCK-10134,20260215,43,3,3,2026-02-15 02:09:47,2026-02-15 21:46:59,19.62,1,0,
135,TCK-10135,20260410,27,4,2,2026-04-10 10:10:23,2026-04-10 15:47:35,5.62,1,1,5
136,TCK-10136,20250220,11,1,1,2025-02-20 21:05:17,2025-02-21 01:01:05,3.93,1,1,5
137,TCK-10137,20251220,8,4,3,2025-12-20 13:07:18,2025-12-20 19:22:54,6.26,1,1,3
138,TCK-10138,20250226,39,4,2,2025-02-26 00:13:19,,,0,0,4
139,TCK-10139,20260317,32,2,1,2026-03-17 05:08:24,2026-03-17 13:45:36,8.62,1,1,3
140,TCK-10140,20250213,26,6,1,2025-02-13 13:01:29,,,0,0,4
141,TCK-10141,20260304,26,7,3,2026-03-04 09:07:25,2026-03-04 17:51:13,8.73,1,0,5
142,TCK-10142,20250419,28,6,1,2025-04-19 07:27:37,2025-04-20 23:19:13,39.86,1,1,5
143,TCK-10143,20250622,50,4,2,2025-06-22 02:32:40,2025-06-22 11:05:04,8.54,1,1,4
144,TCK-10144,20250530,7,3,1,2025-05-30 08:12:11,2025-05-31 03:49:23,19.62,1,0,3
145,TCK-10145,20260801,49,8,2,2026-08-01 18:28:43,,,0,0,3
146,TCK-10146,20250311,29,6,1,2025-03-11 15:28:40,2025-03-11 21:21:28,5.88,1,1,5
147,TCK-10147,20250208,29,5,2,2025-02-08 01:23:53,2025-02-09 00:50:17,23.44,1,1,4
148,TCK-10148,20260722,38,7,2,2026-07-22 23:57:02,2026-07-23 17:42:38,17.76,1,0,4
149,TCK-10149,20250305,10,8,3,2025-03-05 14:06:51,,,0,0,3
150,TCK-10150,20250626,42,2,3,2025-06-26 01:15:45,2025-06-26 06:12:45,4.95,1,1,4
151,TCK-10151,20260223,25,6,2,2026-02-23 10:43:38,2026-02-23 21:51:26,11.13,1,1,3
152,TCK-10152,20250603,17,7,2,2025-06-03 10:05:37,2025-06-04 13:33:13,27.46,1,0,4
153,TCK-10153,20250328,39,7,1,2025-03-28 09:35:24,2025-03-29 01:07:12,15.53,1,0,4
154,TCK-10154,20260310,43,2,3,2026-03-10 16:23:01,2026-03-11 14:25:25,22.04,1,1,5
155,TCK-10155,20250521,15,8,1,2025-05-21 04:04:18,,,0,0,
156,TCK-10156,20250515,22,1,3,2025-05-15 19:24:09,2025-05-16 23:58:57,28.58,1,0,3
157,TCK-10157,20250214,29,3,3,2025-02-14 13:23:43,2025-02-16 00:04:31,34.68,1,0,4
158,TCK-10158,20250902,35,8,1,2025-09-02 09:51:50,2025-09-03 10:13:26,24.36,1,1,3
159,TCK-10159,20251016,50,8,2,2025-10-16 12:32:33,2025-10-17 11:14:33,22.7,1,1,5
160,TCK-10160,20260508,42,5,1,2026-05-08 11:35:59,2026-05-09 19:22:11,31.77,1,0,3
161,TCK-10161,20260610,29,3,2,2026-06-10 04:53:27,2026-06-11 18:05:27,37.2,1,0,3
162,TCK-10162,20260210,4,1,2,2026-02-10 16:23:15,2026-02-11 18:20:51,25.96,1,0,4
163,TCK-10163,20251210,42,2,3,2025-12-10 04:08:02,2025-12-11 07:32:02,27.4,1,1,
164,TCK-10164,20250106,40,8,2,2025-01-06 02:01:16,2025-01-06 04:16:52,2.26,1,1,
165,TCK-10165,20251023,50,7,1,2025-10-23 07:19:07,2025-10-23 08:29:55,1.18,1,1,5
166,TCK-10166,20260703,39,2,2,2026-07-03 00:40:32,2026-07-03 17:12:56,16.54,1,1,
167,TCK-10167,20260303,37,6,1,2026-03-03 05:42:42,2026-03-03 14:27:06,8.74,1,1,5
168,TCK-10168,20250214,31,1,2,2025-02-14 20:24:23,2025-02-15 20:57:23,24.55,1,0,
169,TCK-10169,20250417,16,2,2,2025-04-17 18:47:48,2025-04-19 03:47:48,33.0,1,1,4
170,TCK-10170,20260506,30,3,3,2026-05-06 20:11:51,2026-05-07 08:36:27,12.41,1,0,
171,TCK-10171,20250212,13,4,1,2025-02-12 10:59:19,2025-02-12 21:36:31,10.62,1,1,3
172,TCK-10172,20250218,23,4,2,2025-02-18 20:21:17,2025-02-19 12:24:17,16.05,1,1,5
173,TCK-10173,20260524,12,7,2,2026-05-24 22:31:23,,,0,0,3
174,TCK-10174,20250322,28,2,3,2025-03-22 13:38:52,2025-03-23 06:37:40,16.98,1,1,4
175,TCK-10175,20260313,29,5,2,2026-03-13 05:44:28,2026-03-14 23:37:52,41.89,1,0,4
176,TCK-10176,20250228,41,7,2,2025-02-28 02:42:40,2025-02-28 05:07:16,2.41,1,1,4
177,TCK-10177,20260325,39,1,1,2026-03-25 01:08:04,2026-03-25 12:39:52,11.53,1,1,3
178,TCK-10178,20260406,10,1,3,2026-04-06 11:23:28,2026-04-06 16:43:16,5.33,1,1,4
179,TCK-10179,20250127,8,5,1,2025-01-27 23:11:31,2025-01-28 22:49:55,23.64,1,1,4
180,TCK-10180,20251020,40,8,1,2025-10-20 22:58:31,2025-10-21 20:34:31,21.6,1,1,4
181,TCK-10181,20251124,44,8,1,2025-11-24 21:22:45,2025-11-25 04:16:45,6.9,1,1,4
182,TCK-10182,20250818,33,3,2,2025-08-18 03:12:50,2025-08-18 22:24:50,19.2,1,0,4
183,TCK-10183,20250513,36,6,2,2025-05-13 19:56:05,2025-05-13 23:08:41,3.21,1,1,5
184,TCK-10184,20250317,37,7,2,2025-03-17 04:20:41,2025-03-17 08:41:41,4.35,1,1,
185,TCK-10185,20260530,28,3,1,2026-05-30 01:53:07,2026-05-30 23:28:31,21.59,1,0,5
186,TCK-10186,20251018,34,4,2,2025-10-18 02:16:12,2025-10-19 20:37:48,42.36,1,0,5
187,TCK-10187,20250622,42,2,3,2025-06-22 18:37:09,2025-06-23 20:19:45,25.71,1,1,5
188,TCK-10188,20250216,6,1,1,2025-02-16 20:49:36,2025-02-17 09:02:12,12.21,1,1,3
189,TCK-10189,20260713,41,1,2,2026-07-13 09:41:19,2026-07-13 20:53:55,11.21,1,1,4
190,TCK-10190,20250611,4,2,3,2025-06-11 14:26:30,2025-06-11 23:41:30,9.25,1,1,5
191,TCK-10191,20260213,23,6,3,2026-02-13 04:48:23,2026-02-14 18:02:11,37.23,1,1,
192,TCK-10192,20251001,8,4,2,2025-10-01 14:15:09,2025-10-02 05:48:09,15.55,1,1,5
193,TCK-10193,20251117,21,4,1,2025-11-17 06:48:10,2025-11-17 11:15:46,4.46,1,1,4
194,TCK-10194,20260602,26,1,1,2026-06-02 14:15:13,2026-06-03 18:03:13,27.8,1,0,4
195,TCK-10195,20250109,35,8,2,2025-01-09 03:27:08,,,0,0,4
196,TCK-10196,20260730,37,7,1,2026-07-30 06:23:35,2026-07-30 13:28:59,7.09,1,1,3
197,TCK-10197,20260208,7,2,1,2026-02-08 11:50:21,2026-02-09 10:59:21,23.15,1,1,5
198,TCK-10198,20250216,3,7,3,2025-02-16 01:08:45,2025-02-17 08:28:33,31.33,1,0,3
199,TCK-10199,20251123,40,3,2,2025-11-23 05:25:39,2025-11-24 04:17:51,22.87,1,0,3
200,TCK-10200,20251103,37,8,3,2025-11-03 15:52:01,2025-11-05 05:39:25,37.79,1,1,5
201,TCK-10201,20250929,31,1,3,2025-09-29 20:50:49,2025-09-30 13:20:49,16.5,1,1,5
202,TCK-10202,20250906,44,7,1,2025-09-06 01:36:44,2025-09-07 00:27:44,22.85,1,0,
203,TCK-10203,20260227,10,6,2,2026-02-27 22:13:26,2026-02-28 06:21:50,8.14,1,1,3
204,TCK-10204,20260616,9,1,3,2026-06-16 06:35:20,,,0,0,2
205,TCK-10205,20260714,22,8,3,2026-07-14 11:43:49,,,0,0,5
206,TCK-10206,20250716,31,5,3,2025-07-16 07:17:35,2025-07-18 09:35:35,50.3,1,0,3
207,TCK-10207,20260516,46,4,3,2026-05-16 10:30:22,2026-05-17 22:35:46,36.09,1,0,3
208,TCK-10208,20250530,23,7,2,2025-05-30 09:02:18,,,0,0,
209,TCK-10209,20260506,17,8,3,2026-05-06 06:12:52,2026-05-07 17:37:28,35.41,1,1,
210,TCK-10210,20260628,4,4,1,2026-06-28 07:40:14,2026-06-28 18:36:02,10.93,1,1,4
211,TCK-10211,20250611,36,3,1,2025-06-11 13:41:59,,,0,0,4
212,TCK-10212,20251020,21,4,2,2025-10-20 20:03:58,2025-10-21 09:32:10,13.47,1,1,3
213,TCK-10213,20250630,27,1,1,2025-06-30 01:53:25,2025-07-01 04:09:37,26.27,1,0,5
214,TCK-10214,20251102,1,5,1,2025-11-02 18:38:06,,,0,0,3
215,TCK-10215,20260425,33,8,1,2026-04-25 08:12:51,2026-04-26 07:34:27,23.36,1,1,3
216,TCK-10216,20251212,48,3,1,2025-12-12 09:36:43,2025-12-13 06:28:19,20.86,1,0,5
217,TCK-10217,20250330,21,7,3,2025-03-30 12:42:06,2025-03-30 15:18:42,2.61,1,1,
218,TCK-10218,20250925,1,6,1,2025-09-25 12:15:28,2025-09-26 16:30:28,28.25,1,1,4
219,TCK-10219,20260104,42,1,2,2026-01-04 22:15:03,2026-01-05 09:50:27,11.59,1,1,4
220,TCK-10220,20251030,8,5,3,2025-10-30 11:39:14,2025-10-31 10:46:26,23.12,1,1,4
221,TCK-10221,20260717,45,6,2,2026-07-17 15:48:34,2026-07-18 19:36:34,27.8,1,1,3
222,TCK-10222,20260625,29,2,3,2026-06-25 22:23:04,,,0,0,
223,TCK-10223,20250603,35,4,3,2025-06-03 05:20:54,2025-06-04 05:54:30,24.56,1,1,4
224,TCK-10224,20250226,29,2,3,2025-02-26 14:08:32,2025-02-26 18:30:44,4.37,1,1,4
225,TCK-10225,20260210,2,5,3,2026-02-10 08:52:00,2026-02-11 00:08:48,15.28,1,1,4
226,TCK-10226,20250312,4,2,3,2025-03-12 15:02:18,2025-03-13 11:58:06,20.93,1,1,2
227,TCK-10227,20260405,25,7,2,2026-04-05 12:24:05,2026-04-05 23:02:29,10.64,1,0,3
228,TCK-10228,20260705,12,6,1,2026-07-05 12:33:08,2026-07-06 07:13:20,18.67,1,1,
229,TCK-10229,20260712,44,5,2,2026-07-12 13:34:24,,,0,0,4
230,TCK-10230,20250713,18,6,1,2025-07-13 23:48:07,2025-07-14 09:25:55,9.63,1,1,3
231,TCK-10231,20250310,14,1,1,2025-03-10 03:38:02,2025-03-10 10:41:02,7.05,1,1,2
232,TCK-10232,20250828,29,1,2,2025-08-28 17:13:48,,,0,0,
233,TCK-10233,20260813,47,5,1,2026-08-13 10:36:38,2026-08-14 08:47:26,22.18,1,1,3
234,TCK-10234,20251009,20,4,2,2025-10-09 01:35:37,,,0,0,3
235,TCK-10235,20260126,23,8,1,2026-01-26 16:20:44,2026-01-27 01:50:08,9.49,1,1,
236,TCK-10236,20260705,49,7,1,2026-07-05 15:15:54,2026-07-06 13:57:18,22.69,1,0,4
237,TCK-10237,20260303,27,1,3,2026-03-03 17:33:08,2026-03-04 11:42:44,18.16,1,1,
238,TCK-10238,20260703,6,8,2,2026-07-03 23:53:12,2026-07-05 05:07:36,29.24,1,1,4
239,TCK-10239,20260727,49,2,1,2026-07-27 06:30:13,,,0,0,4
240,TCK-10240,20250501,13,1,1,2025-05-01 23:48:30,,,0,0,4
241,TCK-10241,20251017,21,4,3,2025-10-17 12:29:34,2025-10-17 19:25:58,6.94,1,1,3
242,TCK-10242,20260426,47,8,1,2026-04-26 10:58:13,2026-04-28 00:39:01,37.68,1,1,3
243,TCK-10243,20260721,17,3,1,2026-07-21 18:37:46,2026-07-22 09:52:46,15.25,1,0,4
244,TCK-10244,20251212,36,4,2,2025-12-12 08:48:52,2025-12-13 13:35:40,28.78,1,1,4
245,TCK-10245,20260714,9,6,1,2026-07-14 15:11:58,,,0,0,3
246,TCK-10246,20250318,3,1,3,2025-03-18 21:03:48,2025-03-20 02:33:48,29.5,1,0,
247,TCK-10247,20260602,14,3,1,2026-06-02 14:23:03,2026-06-03 21:45:51,31.38,1,0,3
248,TCK-10248,20260629,1,8,1,2026-06-29 17:26:00,2026-06-30 02:42:48,9.28,1,1,3
249,TCK-10249,20250409,7,7,1,2025-04-09 16:09:15,2025-04-10 08:27:15,16.3,1,0,4
250,TCK-10250,20260220,24,7,1,2026-02-20 14:36:15,,,0,0,3
251,TCK-10251,20250202,42,2,3,2025-02-02 02:25:24,2025-02-02 04:02:36,1.62,1,1,4
252,TCK-10252,20251206,28,2,2,2025-12-06 18:54:06,,,0,0,4
253,TCK-10253,20250318,3,8,2,2025-03-18 21:59:17,,,0,0,5
254,TCK-10254,20250117,21,1,1,2025-01-17 06:37:09,2025-01-17 22:18:33,15.69,1,1,
255,TCK-10255,20260804,16,3,3,2026-08-04 12:43:57,2026-08-04 19:27:45,6.73,1,1,4
256,TCK-10256,20251221,48,2,3,2025-12-21 01:06:27,2025-12-21 04:46:39,3.67,1,1,
257,TCK-10257,20251007,2,7,2,2025-10-07 14:31:14,2025-10-08 20:55:14,30.4,1,0,4
258,TCK-10258,20251030,50,7,1,2025-10-30 07:45:04,2025-10-31 12:57:40,29.21,1,0,5
259,TCK-10259,20250420,24,7,2,2025-04-20 02:00:19,2025-04-20 20:54:19,18.9,1,0,
260,TCK-10260,20260723,36,7,2,2026-07-23 16:26:06,2026-07-24 05:22:30,12.94,1,0,5
261,TCK-10261,20251026,1,6,2,2025-10-26 13:24:49,2025-10-27 16:51:13,27.44,1,1,5
262,TCK-10262,20250623,25,3,3,2025-06-23 04:17:19,2025-06-23 05:24:31,1.12,1,1,
263,TCK-10263,20260308,18,3,2,2026-03-08 09:30:50,2026-03-09 03:54:50,18.4,1,0,5
264,TCK-10264,20250519,7,4,2,2025-05-19 09:00:25,2025-05-19 11:43:37,2.72,1,1,3
265,TCK-10265,20250520,42,6,2,2025-05-20 09:20:38,,,0,0,3
