SurveyResponseKey,TicketKey,SurveyResponseDate,AgentCourtesyRating,ResolutionQualityRating,WaitTimeRating,FirstContactResolution,NPS_Score,CustomerComment,ResponseTimeHours
27,48,2026-03-31,3,2,1,0,6,"Support was okay, nothing exceptional.",3.17
28,50,2025-03-19,4,4,4,1,7,Agent was friendly and solved my issue quickly.,30.09
29,51,2025-01-07,3,4,5,1,10,"Great service, very professional and helpful.",33.75
30,53,2026-06-04,4,4,2,1,5,The agent was fine but I had to wait.,26.09
31,54,2025-10-13,5,5,4,1,7,"Polite and knowledgeable support, thank you.",41.89
32,55,2025-03-26,5,5,4,1,10,Agent was friendly and solved my issue quickly.,23.67
33,56,2026-03-04,3,3,3,1,5,The agent was fine but I had to wait.,20.03
34,58,2025-10-09,5,2,2,1,9,"Resolved on the first call, very satisfied.",25.88
35,60,2025-09-26,5,5,5,1,6,"Resolved on the first call, very satisfied.",21.8
36,61,2026-04-27,5,4,3,1,9,Agent was friendly and solved my issue quickly.,4.74
37,62,2025-07-26,5,5,4,0,9,"Polite and knowledgeable support, thank you.",34.5
38,65,2025-11-07,5,5,5,1,6,"Resolved on the first call, very satisfied.",28.18
39,66,2025-03-15,4,3,2,0,8,"Support was okay, nothing exceptional.",48.95
40,67,2025-06-07,1,2,1,1,5,Agent was not helpful and seemed rushed.,10.67
41,71,2025-04-01,4,4,3,1,6,Average experience overall.,52.21
42,76,2025-05-11,3,3,2,0,5,Average experience overall.,14.34
43,81,2026-07-22,5,3,4,1,9,"Resolved on the first call, very satisfied.",23.03
44,84,2026-08-08,4,2,3,0,4,Got what I needed eventually.,27.97
45,86,2025-01-24,4,3,3,0,5,The agent was fine but I had to wait.,14.68
46,88,2026-03-01,5,4,3,1,4,Quick response and clear explanation.,32.78
47,90,2026-04-21,5,3,3,0,6,Issue was resolved but it took a while.,46.35
48,91,2026-07-19,4,4,4,1,5,"Great service, very professional and helpful.",32.92
49,93,2026-05-28,3,2,3,1,3,Got what I needed eventually.,4.58
50,94,2026-01-30,5,3,4,1,4,"Great service, very professional and helpful.",28.49
51,95,2025-10-01,5,3,5,1,5,Agent was friendly and solved my issue quickly.,11.36
52,99,2026-04-15,3,4,4,1,6,Agent was friendly and solved my issue quickly.,44.68
53,100,2026-02-15,4,2,3,1,2,Issue was resolved but it took a while.,40.73
54,104,2026-01-28,5,4,3,1,2,Agent was friendly and solved my issue quickly.,10.06
55,105,2025-01-13,5,4,5,0,8,Quick response and clear explanation.,43.49
56,106,2025-09-15,5,5,4,1,9,"Great service, very professional and helpful.",9.2
57,108,2026-05-26,3,2,3,0,6,The agent was fine but I had to wait.,25.83
58,110,2025-04-06,5,4,4,1,6,"Resolved on the first call, very satisfied.",42.41
59,112,2025-04-29,5,5,3,1,10,Quick response and clear explanation.,12.34
60,113,2025-04-04,3,5,4,1,9,"Polite and knowledgeable support, thank you.",11.74
61,114,2025-04-23,3,2,3,1,3,Average experience overall.,6.46
62,115,2026-04-24,5,5,3,0,4,Quick response and clear explanation.,15.9
63,116,2025-08-30,4,3,3,1,6,Got what I needed eventually.,15.25
64,118,2026-04-03,3,2,1,0,0,"Very frustrating experience, poor communication.",40.41
65,121,2026-07-23,2,4,4,1,10,"Great service, very professional and helpful.",6.79
66,123,2025-01-18,3,4,4,1,5,"Great service, very professional and helpful.",3.96
67,125,2025-02-03,2,3,1,0,0,Had to contact you multiple times for the same issue.,26.12
68,126,2025-06-02,4,5,4,1,8,"Great service, very professional and helpful.",19.55
69,127,2026-03-18,5,4,5,1,10,Quick response and clear explanation.,16.87
70,129,2026-05-04,4,3,4,1,4,"Polite and knowledgeable support, thank you.",53.69
71,130,2026-07-31,4,3,3,1,2,Got what I needed eventually.,19.5
72,131,2025-11-16,1,3,1,1,3,Had to contact you multiple times for the same issue.,2.81
73,135,2026-04-13,5,5,4,1,9,"Great service, very professional and helpful.",58.8
74,136,2025-02-21,5,5,5,1,5,Quick response and clear explanation.,3.19
75,137,2025-12-21,4,3,3,0,2,Average experience overall.,14.79
76,139,2026-03-19,2,4,3,1,4,Got what I needed eventually.,50.81
77,141,2026-03-05,4,5,5,1,6,Agent was friendly and solved my issue quickly.,22.45
78,142,2025-04-21,5,4,5,0,8,"Polite and knowledgeable support, thank you.",13.33
79,143,2025-06-23,3,3,2,0,3,"Resolved on the first call, very satisfied.",19.37
80,144,2025-05-31,4,2,3,0,1,"Support was okay, nothing exceptional.",15.09
81,146,2025-03-11,5,5,5,1,8,"Resolved on the first call, very satisfied.",1.45
82,148,2026-07-24,5,4,3,1,6,"Great service, very professional and helpful.",19.91
83,152,2025-06-05,4,5,3,1,7,"Polite and knowledgeable support, thank you.",27.08
84,153,2025-03-30,4,3,3,1,10,Agent was friendly and solved my issue quickly.,41.13
85,156,2025-05-18,4,4,3,1,5,The agent was fine but I had to wait.,43.94
86,157,2025-02-16,4,5,4,1,6,"Great service, very professional and helpful.",18.91
87,160,2026-05-11,2,1,2,1,5,Issue was resolved but it took a while.,52.52
88,161,2026-06-12,2,3,2,0,6,Average experience overall.,15.05
89,162,2026-02-13,4,2,3,1,6,"Resolved on the first call, very satisfied.",42.8
90,165,2025-10-23,5,5,5,1,10,Agent was friendly and solved my issue quickly.,5.85
91,169,2025-04-20,4,4,4,1,4,Quick response and clear explanation.,34.09
92,171,2025-02-14,3,4,1,1,3,Issue was resolved but it took a while.,32.88
93,174,2025-03-23,4,3,5,1,5,"Resolved on the first call, very satisfied.",9.23
94,175,2026-03-16,4,4,2,1,10,"Polite and knowledgeable support, thank you.",24.51
95,176,2025-03-01,5,5,4,1,3,"Resolved on the first call, very satisfied.",30.79
96,177,2026-03-26,4,3,2,0,3,"Support was okay, nothing exceptional.",15.84
97,178,2026-04-08,5,4,4,1,9,"Great service, very professional and helpful.",48.83
98,179,2025-01-29,4,4,3,1,9,"Great service, very professional and helpful.",19.7
99,180,2025-10-24,5,4,3,1,4,"Polite and knowledgeable support, thank you.",52.3
100,181,2025-11-25,5,4,3,1,5,Quick response and clear explanation.,10.18
101,183,2025-05-14,5,5,4,1,10,"Great service, very professional and helpful.",9.01
102,186,2025-10-21,5,4,5,1,7,"Polite and knowledgeable support, thank you.",42.78
103,187,2025-06-23,5,4,5,1,8,Agent was friendly and solved my issue quickly.,0.29
104,189,2026-07-15,4,3,4,1,4,"Great service, very professional and helpful.",38.32
105,190,2025-06-12,5,4,4,1,7,Quick response and clear explanation.,11.47
106,192,2025-10-03,5,4,5,1,8,Agent was friendly and solved my issue quickly.,20.75
107,193,2025-11-18,4,3,4,0,7,Agent was friendly and solved my issue quickly.,26.08
108,194,2026-06-04,3,3,2,1,6,"Resolved on the first call, very satisfied.",9.88
109,196,2026-07-31,3,4,2,1,3,"Support was okay, nothing exceptional.",10.59
110,197,2026-02-10,5,4,4,1,5,"Polite and knowledgeable support, thank you.",30.96
111,199,2025-11-24,4,4,2,1,6,Got what I needed eventually.,12.11
112,200,2025-11-05,5,4,5,1,6,"Resolved on the first call, very satisfied.",13.97
113,201,2025-10-03,5,4,5,1,8,"Polite and knowledgeable support, thank you.",63.26
114,210,2026-07-01,4,4,3,1,6,"Great service, very professional and helpful.",54.46
115,212,2025-10-22,4,2,2,1,6,Got what I needed eventually.,23.38
116,213,2025-07-01,5,5,5,1,9,Quick response and clear explanation.,12.21
117,218,2025-09-29,5,3,4,1,3,"Great service, very professional and helpful.",58.87
118,220,2025-10-31,5,3,3,1,7,Agent was friendly and solved my issue quickly.,5.3
119,223,2025-06-06,3,4,3,1,4,Agent was friendly and solved my issue quickly.,43.03
120,224,2025-02-28,3,3,4,0,5,Agent was friendly and solved my issue quickly.,46.05
121,225,2026-02-14,3,4,3,1,5,Agent was friendly and solved my issue quickly.,82.34
122,226,2025-03-13,3,2,1,1,1,The problem was not resolved and no follow-up.,2.3
123,227,2026-04-06,3,3,2,1,4,Issue was resolved but it took a while.,13.36
124,230,2025-07-17,4,3,4,1,1,Got what I needed eventually.,62.73
125,231,2025-03-11,3,2,1,1,3,Agent was not helpful and seemed rushed.,35.7
126,233,2026-08-15,3,3,3,0,4,The agent was fine but I had to wait.,33.58
127,236,2026-07-07,5,3,2,1,4,Quick response and clear explanation.,29.09
128,238,2026-07-06,3,4,3,1,6,Agent was friendly and solved my issue quickly.,35.4
129,241,2025-10-19,2,4,3,1,4,Issue was resolved but it took a while.,37.41
130,242,2026-04-29,4,2,3,1,6,The agent was fine but I had to wait.,37.74
131,243,2026-07-24,5,2,3,0,6,"Polite and knowledgeable support, thank you.",43.32
132,244,2025-12-14,5,5,4,1,7,"Great service, very professional and helpful.",14.86
133,247,2026-06-04,3,4,2,0,4,The agent was fine but I had to wait.,4.82
134,248,2026-06-30,3,3,2,1,6,"Support was okay, nothing exceptional.",8.41
135,249,2025-04-11,5,3,4,1,4,"Resolved on the first call, very satisfied.",18.28
136,251,2025-02-02,5,5,5,1,6,Agent was friendly and solved my issue quickly.,17.31
137,255,2026-08-05,4,4,5,1,8,"Polite and knowledgeable support, thank you.",15.33
138,258,2025-11-01,5,5,4,1,7,"Polite and knowledgeable support, thank you.",18.4
139,260,2026-07-25,5,5,4,1,10,Quick response and clear explanation.,36.48
140,261,2025-10-28,4,5,5,1,9,"Great service, very professional and helpful.",11.78
141,263,2026-03-10,5,3,4,1,9,Agent was friendly and solved my issue quickly.,20.49
142,264,2025-05-21,3,2,3,1,5,Got what I needed eventually.,37.25
143,267,2025-07-06,5,5,5,1,10,"Polite and knowledgeable support, thank you.",20.58
144,268,2026-02-25,4,3,3,1,4,The agent was fine but I had to wait.,31.46
145,269,2026-05-07,4,4,3,1,7,"Great service, very professional and helpful.",20.31
146,271,2025-04-21,4,4,3,1,6,"Support was okay, nothing exceptional.",40.35
147,272,2026-02-08,5,3,5,1,8,"Resolved on the first call, very satisfied.",64.54
148,273,2025-03-31,4,2,2,1,4,Got what I needed eventually.,26.7
149,275,2025-01-27,5,5,4,1,6,"Polite and knowledgeable support, thank you.",39.4
150,276,2025-12-07,5,3,4,1,5,Quick response and clear explanation.,33.72
151,277,2025-07-24,3,3,3,0,2,Issue was resolved but it took a while.,18.04
152,278,2026-07-06,5,5,5,1,7,"Polite and knowledgeable support, thank you.",14.93
153,279,2026-02-08,3,4,3,1,3,"Resolved on the first call, very satisfied.",40.1
154,280,2025-03-30,5,5,5,1,8,Quick response and clear explanation.,30.3
155,281,2025-05-24,3,3,2,1,5,The agent was fine but I had to wait.,32.0
156,282,2026-05-18,4,3,4,1,8,Quick response and clear explanation.,12.28
157,283,2025-07-21,5,5,5,1,9,Agent was friendly and solved my issue quickly.,37.55
158,284,2025-03-28,5,5,5,1,6,"Great service, very professional and helpful.",32.38
159,285,2026-05-24,5,5,5,1,5,"Resolved on the first call, very satisfied.",13.19
160,286,2026-07-15,3,3,2,0,2,"Support was okay, nothing exceptional.",8.86
161,288,2026-03-17,4,4,2,1,10,Agent was friendly and solved my issue quickly.,5.41
162,289,2025-06-22,5,4,5,1,6,Quick response and clear explanation.,5.9
163,290,2026-02-26,4,3,4,0,6,"Great service, very professional and helpful.",7.53
164,291,2026-02-10,5,4,4,0,8,Quick response and clear explanation.,42.59
165,292,2025-10-15,4,5,4,1,7,"Great service, very professional and helpful.",39.37
166,293,2026-01-03,3,5,4,1,8,"Polite and knowledgeable support, thank you.",19.55
167,297,2026-01-18,4,5,4,1,2,"Polite and knowledgeable support, thank you.",14.06
168,299,2026-04-03,4,5,5,1,10,Quick response and clear explanation.,17.27
169,301,2025-05-30,3,4,3,1,2,Got what I needed eventually.,44.16
170,302,2026-04-01,2,3,3,1,4,"Support was okay, nothing exceptional.",17.36
171,306,2026-08-07,5,5,4,1,8,"Resolved on the first call, very satisfied.",20.81
172,309,2026-06-10,5,5,5,1,10,"Polite and knowledgeable support, thank you.",45.8
173,310,2026-03-26,4,4,4,0,7,"Resolved on the first call, very satisfied.",9.61
174,311,2025-07-01,4,4,4,1,6,"Polite and knowledgeable support, thank you.",19.73
175,313,2025-03-08,5,4,4,1,7,"Polite and knowledgeable support, thank you.",14.22
176,315,2025-09-10,5,5,4,1,10,Quick response and clear explanation.,17.74
177,318,2026-07-24,4,5,2,1,2,"Resolved on the first call, very satisfied.",55.81
178,319,2026-05-22,4,4,3,1,6,"Resolved on the first call, very satisfied.",14.63
179,323,2026-06-02,5,5,5,1,6,Agent was friendly and solved my issue quickly.,2.0
180,324,2025-09-27,3,4,4,1,7,"Resolved on the first call, very satisfied.",12.5
181,326,2025-11-13,4,3,3,1,7,Got what I needed eventually.,4.72
182,332,2025-02-23,4,3,2,1,0,Got what I needed eventually.,40.91
183,334,2026-07-21,2,4,2,1,6,"Great service, very professional and helpful.",45.75
184,335,2025-01-22,5,4,4,1,5,"Polite and knowledgeable support, thank you.",47.18
185,337,2025-08-27,4,5,4,1,4,Agent was friendly and solved my issue quickly.,0.66
186,339,2026-01-05,5,4,3,1,4,"Great service, very professional and helpful.",16.43
187,343,2026-02-12,4,4,4,1,9,"Great service, very professional and helpful.",28.64
188,345,2025-10-31,2,3,1,0,0,"Very frustrating experience, poor communication.",14.35
189,346,2025-11-24,5,5,5,1,8,"Resolved on the first call, very satisfied.",31.96
190,349,2026-03-08,4,4,5,1,7,"Great service, very professional and helpful.",24.15
191,355,2026-05-08,5,4,5,1,9,Agent was friendly and solved my issue quickly.,17.21
192,356,2026-04-29,4,3,3,1,3,"Support was okay, nothing exceptional.",3.29
193,358,2025-12-21,5,5,5,1,10,Quick response and clear explanation.,7.96
194,360,2026-06-16,4,4,4,1,6,"Polite and knowledgeable support, thank you.",4.15
195,365,2026-05-16,5,4,3,1,7,Quick response and clear explanation.,46.82
196,368,2025-11-27,4,5,5,1,9,"Great service, very professional and helpful.",27.41
197,369,2026-06-15,5,5,5,1,10,"Great service, very professional and helpful.",22.7
198,371,2025-10-10,5,4,4,1,4,"Great service, very professional and helpful.",19.81
199,372,2026-04-04,5,5,3,1,5,Agent was friendly and solved my issue quickly.,28.89
200,373,2026-02-03,5,5,4,1,9,Quick response and clear explanation.,47.0
201,374,2026-02-26,4,5,4,1,10,"Resolved on the first call, very satisfied.",33.47
202,376,2025-12-26,1,2,1,1,0,Agent was not helpful and seemed rushed.,27.89
203,379,2025-09-04,3,2,4,1,0,Got what I needed eventually.,8.37
204,380,2025-11-01,4,4,3,1,8,The agent was fine but I had to wait.,37.82
205,381,2025-08-19,5,3,3,0,0,The agent was fine but I had to wait.,28.16
206,382,2025-07-07,5,5,4,1,6,"Great service, very professional and helpful.",36.62
207,383,2025-04-02,5,5,3,1,8,Agent was friendly and solved my issue quickly.,2.3
208,385,2026-01-28,4,5,3,1,5,Quick response and clear explanation.,37.84
209,387,2025-11-20,5,5,4,1,9,Quick response and clear explanation.,35.71
210,388,2025-04-04,4,5,5,1,6,"Great service, very professional and helpful.",60.32
211,390,2025-12-20,4,5,5,1,8,Quick response and clear explanation.,4.63
212,393,2025-08-07,5,5,4,1,5,Quick response and clear explanation.,1.12
213,395,2026-01-26,5,3,4,1,5,"Polite and knowledgeable support, thank you.",6.01
214,396,2025-04-16,3,2,1,0,4,The problem was not resolved and no follow-up.,27.65
215,397,2025-04-22,3,2,3,1,6,"Support was okay, nothing exceptional.",29.77
216,398,2025-02-12,4,4,4,1,6,"Great service, very professional and helpful.",33.75
217,399,2026-05-23,5,3,5,1,6,"Resolved on the first call, very satisfied.",32.19
218,402,2025-06-25,5,3,5,1,4,"Resolved on the first call, very satisfied.",19.57
219,405,2026-03-26,5,5,4,0,8,"Great service, very professional and helpful.",19.87
220,406,2025-04-27,5,4,5,1,10,"Resolved on the first call, very satisfied.",12.73
221,407,2026-06-18,4,3,5,0,6,"Resolved on the first call, very satisfied.",29.27
222,409,2025-09-06,3,4,2,0,5,Got what I needed eventually.,57.16
223,414,2025-12-31,5,5,3,1,5,Agent was friendly and solved my issue quickly.,1.42
224,415,2026-02-28,5,5,5,1,10,"Great service, very professional and helpful.",59.61
225,416,2025-04-22,5,3,3,0,6,Agent was friendly and solved my issue quickly.,13.03
226,417,2026-06-04,5,5,5,1,10,"Polite and knowledgeable support, thank you.",33.68
227,419,2026-03-09,5,4,4,1,9,Agent was friendly and solved my issue quickly.,64.17
228,420,2026-03-03,5,5,5,0,7,Quick response and clear explanation.,77.09
229,421,2025-10-27,5,4,3,1,6,"Resolved on the first call, very satisfied.",10.09
230,422,2025-12-28,4,4,3,1,3,The agent was fine but I had to wait.,13.76
231,428,2025-07-23,5,5,4,1,7,"Great service, very professional and helpful.",24.42
232,429,2026-03-16,5,4,4,1,5,"Resolved on the first call, very satisfied.",18.05
233,431,2025-11-24,5,5,4,1,10,"Resolved on the first call, very satisfied.",46.44
234,432,2025-08-19,5,4,3,1,9,"Polite and knowledgeable support, thank you.",68.71
235,433,2025-01-10,3,2,2,1,5,"Support was okay, nothing exceptional.",2.1
236,436,2026-07-06,3,2,2,1,2,The agent was fine but I had to wait.,21.25
237,437,2026-07-07,3,1,2,1,4,Agent was not helpful and seemed rushed.,36.11
238,438,2025-12-08,3,1,3,1,5,Average experience overall.,27.53
239,439,2026-02-05,5,4,4,1,3,Quick response and clear explanation.,36.33
240,440,2025-02-18,3,3,4,1,10,"Polite and knowledgeable support, thank you.",38.35
241,443,2026-07-24,2,4,3,1,0,Average experience overall.,25.9
242,444,2025-12-20,5,5,3,1,10,"Great service, very professional and helpful.",16.06
243,446,2025-03-17,2,2,1,0,1,Waited far too long and the problem is still not fixed.,24.51
244,448,2025-06-09,4,4,3,1,6,"Great service, very professional and helpful.",44.09
245,449,2026-03-25,5,5,5,1,10,Agent was friendly and solved my issue quickly.,28.01
246,450,2026-07-19,3,5,4,1,4,"Great service, very professional and helpful.",8.47
247,451,2025-03-21,5,5,5,1,10,Quick response and clear explanation.,9.38
248,453,2025-08-19,4,3,3,1,6,Quick response and clear explanation.,33.73
249,454,2025-06-20,4,4,5,0,5,"Polite and knowledgeable support, thank you.",10.9
250,455,2026-05-13,5,4,5,1,5,"Polite and knowledgeable support, thank you.",20.0
251,459,2026-05-16,2,4,1,1,5,Issue was resolved but it took a while.,15.67
252,460,2025-07-13,3,5,3,1,6,Agent was friendly and solved my issue quickly.,36.37
253,467,2025-04-12,4,3,4,1,9,Quick response and clear explanation.,32.4
254,468,2025-05-18,3,2,2,0,2,Issue was resolved but it took a while.,63.41
255,469,2026-06-28,4,4,3,0,1,Average experience overall.,14.84
256,472,2026-02-25,3,4,3,1,5,Quick response and clear explanation.,35.09
257,474,2025-12-21,5,3,4,1,4,"Great service, very professional and helpful.",22.13
258,477,2025-03-25,5,5,4,1,6,"Great service, very professional and helpful.",9.46
259,479,2025-02-08,4,5,4,1,8,"Polite and knowledgeable support, thank you.",22.71
260,480,2026-02-22,5,5,4,1,7,Quick response and clear explanation.,20.94
261,484,2025-01-31,2,2,2,1,1,Waited far too long and the problem is still not fixed.,40.75
262,485,2025-12-29,5,5,5,1,6,Quick response and clear explanation.,6.25
263,488,2025-04-21,4,3,3,0,4,The agent was fine but I had to wait.,9.83
264,491,2026-02-11,5,5,3,1,9,"Great service, very professional and helpful.",30.06
265,492,2025-08-05,4,5,4,0,5,"Great service, very professional and helpful.",11.26
266,493,2025-12-19,5,5,4,0,8,"Polite and knowledgeable support, thank you.",20.56
267,494,2025-07-06,3,3,3,1,4,The agent was fine but I had to wait.,5.1
268,500,2025-06-25,3,3,1,1,1,Had to contact you multiple times for the same issue.,64.77
269,503,2025-03-26,5,5,4,1,10,"Polite and knowledgeable support, thank you.",24.65
270,505,2026-03-31,3,3,3,0,5,"Polite and knowledgeable support, thank you.",4.12
271,507,2026-08-02,5,5,3,1,8,"Resolved on the first call, very satisfied.",7.98
272,508,2026-01-14,5,3,3,0,5,"Polite and knowledgeable support, thank you.",46.89
273,509,2026-07-04,2,4,2,1,5,"Support was okay, nothing exceptional.",45.71
274,510,2025-01-09,5,4,4,1,4,"Resolved on the first call, very satisfied.",2.23
275,511,2025-09-29,4,3,1,1,3,The problem was not resolved and no follow-up.,40.56
276,513,2026-05-22,5,5,5,1,10,"Resolved on the first call, very satisfied.",37.66
277,516,2026-02-08,3,5,4,0,4,"Polite and knowledgeable support, thank you.",25.25
278,517,2025-09-15,5,4,4,1,7,"Resolved on the first call, very satisfied.",36.8
279,519,2025-11-04,5,5,5,1,10,"Resolved on the first call, very satisfied.",27.12
280,520,2025-06-22,5,4,5,1,9,"Polite and knowledgeable support, thank you.",9.48
281,525,2026-07-24,4,5,5,0,9,"Polite and knowledgeable support, thank you.",38.9
282,529,2026-05-15,3,3,4,1,5,The agent was fine but I had to wait.,19.27
283,530,2025-08-18,3,3,2,1,0,Issue was resolved but it took a while.,34.27
284,536,2026-03-18,3,3,4,1,4,"Polite and knowledgeable support, thank you.",0.29
285,538,2025-08-17,5,4,3,0,7,"Resolved on the first call, very satisfied.",16.18
286,539,2026-04-19,3,4,3,0,7,"Resolved on the first call, very satisfied.",32.88
287,540,2026-02-16,4,3,3,0,4,Agent was friendly and solved my issue quickly.,8.5
288,542,2026-03-22,5,3,4,1,2,Average experience overall.,12.84
289,543,2026-01-27,3,4,4,0,5,Agent was friendly and solved my issue quickly.,9.27
290,544,2026-02-09,5,5,5,1,7,"Polite and knowledgeable support, thank you.",27.64
291,545,2025-03-28,5,5,3,1,6,"Resolved on the first call, very satisfied.",23.31
292,546,2026-07-29,5,5,4,0,8,"Great service, very professional and helpful.",35.39
293,548,2025-12-25,4,4,4,1,4,Quick response and clear explanation.,14.31
294,550,2025-02-28,3,3,3,1,4,Issue was resolved but it took a while.,51.88
295,551,2026-04-29,5,4,4,1,9,"Resolved on the first call, very satisfied.",14.28
296,553,2025-07-26,4,4,4,1,9,"Resolved on the first call, very satisfied.",3.66
297,556,2026-06-29,5,4,5,1,9,Quick response and clear explanation.,35.51
298,558,2025-12-17,5,5,5,1,7,"Great service, very professional and helpful.",0.54
299,560,2025-05-24,3,3,2,1,6,"Support was okay, nothing exceptional.",22.67
300,562,2025-06-01,5,4,5,1,6,"Polite and knowledgeable support, thank you.",35.57
301,563,2025-07-13,3,3,3,1,3,Average experience overall.,13.63
302,564,2025-08-26,5,5,4,1,7,Quick response and clear explanation.,17.98
303,568,2026-01-29,3,3,3,0,2,"Support was okay, nothing exceptional.",51.36
304,569,2026-04-09,4,4,3,1,5,Issue was resolved but it took a while.,6.57
305,571,2025-11-01,4,2,2,1,6,"Support was okay, nothing exceptional.",29.22
306,576,2025-07-06,5,4,4,1,9,Quick response and clear explanation.,22.28
307,577,2025-07-29,5,3,5,0,7,"Resolved on the first call, very satisfied.",33.22
308,579,2026-07-26,4,5,4,1,9,"Polite and knowledgeable support, thank you.",3.09
309,580,2025-02-22,3,3,2,1,5,The agent was fine but I had to wait.,30.06
310,581,2026-01-05,4,3,2,1,4,Agent was friendly and solved my issue quickly.,26.03
311,582,2025-10-29,2,3,3,1,5,"Support was okay, nothing exceptional.",28.08
312,586,2026-03-04,4,3,3,1,6,Got what I needed eventually.,50.01
313,590,2025-01-22,3,3,5,1,6,"Polite and knowledgeable support, thank you.",30.0
314,592,2025-05-04,5,4,3,1,8,"Resolved on the first call, very satisfied.",59.42
315,593,2025-11-07,4,4,3,1,4,"Great service, very professional and helpful.",3.85
316,594,2025-01-28,4,5,5,1,10,Quick response and clear explanation.,35.61
317,595,2025-04-14,5,4,5,1,1,"Polite and knowledgeable support, thank you.",28.9
318,597,2025-11-19,5,4,3,1,5,"Great service, very professional and helpful.",41.09
319,598,2025-10-09,4,4,3,1,5,"Great service, very professional and helpful.",16.85
320,601,2026-03-15,5,4,5,1,9,"Polite and knowledgeable support, thank you.",31.36
321,603,2025-04-07,2,4,3,1,7,Got what I needed eventually.,1.08
322,605,2025-03-10,3,4,2,1,2,Average experience overall.,21.86
323,606,2026-02-21,5,4,4,1,3,The agent was fine but I had to wait.,0.42
324,608,2025-12-18,3,3,3,1,5,The agent was fine but I had to wait.,8.3
325,611,2025-01-02,5,3,5,1,8,Agent was friendly and solved my issue quickly.,23.86
326,615,2026-02-10,5,5,5,1,6,Quick response and clear explanation.,32.69
327,616,2026-07-25,4,4,5,0,8,Quick response and clear explanation.,33.22
328,617,2025-03-16,5,5,3,1,5,"Great service, very professional and helpful.",3.88
329,618,2026-03-04,4,3,2,1,5,Issue was resolved but it took a while.,22.71
330,619,2026-02-01,3,4,4,1,5,"Resolved on the first call, very satisfied.",42.08
331,620,2026-01-13,5,5,5,1,10,"Resolved on the first call, very satisfied.",56.35
332,621,2026-06-26,5,4,5,1,4,Agent was friendly and solved my issue quickly.,24.77
333,622,2026-07-08,5,5,5,1,9,Quick response and clear explanation.,22.04
334,623,2025-12-09,5,5,5,1,5,"Great service, very professional and helpful.",54.78
335,628,2025-06-09,5,4,4,1,9,Agent was friendly and solved my issue quickly.,21.59
336,629,2025-12-22,4,5,5,1,6,Agent was friendly and solved my issue quickly.,45.62
337,631,2026-01-31,5,5,5,1,7,Quick response and clear explanation.,36.28
338,633,2025-07-21,5,5,5,0,10,Quick response and clear explanation.,23.82
339,637,2025-07-11,5,4,4,0,8,Agent was friendly and solved my issue quickly.,55.94
340,640,2026-03-20,3,4,3,1,8,Agent was friendly and solved my issue quickly.,22.26
341,642,2025-12-06,3,3,3,1,7,Issue was resolved but it took a while.,40.05
342,645,2025-10-27,4,3,4,1,5,"Great service, very professional and helpful.",20.73
343,646,2026-01-04,4,5,4,1,3,Agent was friendly and solved my issue quickly.,18.3
344,651,2026-04-16,5,5,4,1,7,Agent was friendly and solved my issue quickly.,29.12
345,654,2025-10-09,5,4,3,1,7,Quick response and clear explanation.,39.28
